filename,type
C:\Users\chris\OneDrive\Documents\School\Thesis\river-feature-extraction-model/images/objects/water_hyacinths/40fde3c9-6e05-48c3-a129-89efb38cf26b.jpg,water_hyacinth
C:\Users\chris\OneDrive\Documents\School\Thesis\river-feature-extraction-model/images/objects/water_hyacinths/cad3441c-9a29-45a5-b8bd-103c9e20c895.jpg,water_hyacinth
C:\Users\chris\OneDrive\Documents\School\Thesis\river-feature-extraction-model/images/objects/water_hyacinths/fa124c37-23e6-45ee-a4dc-ca9123777463.jpg,water_hyacinth
C:\Users\chris\OneDrive\Documents\School\Thesis\river-feature-extraction-model/images/objects/water_hyacinths/5136daa9-f7d8-4e79-aa62-3c3869135987.jpg,water_hyacinth
C:\Users\chris\OneDrive\Documents\School\Thesis\river-feature-extraction-model/images/objects/garbages/f115bf33-8dfb-4aa0-b7bb-ae9feebe100b.jpg,garbage
C:\Users\chris\OneDrive\Documents\School\Thesis\river-feature-extraction-model/images/objects/water_hyacinths/e2e27219-4ef9-4cfd-bdd2-3657422c26a2.jpg,water_hyacinth
C:\Users\chris\OneDrive\Documents\School\Thesis\river-feature-extraction-model/images/objects/water_hyacinths/ee86a1ac-bcf3-4377-8595-81ffd2d49398.jpg,water_hyacinth
C:\Users\chris\OneDrive\Documents\School\Thesis\river-feature-extraction-model/images/objects/water_hyacinths/efed9b10-950c-4b13-b375-c75eadc71d77.jpg,water_hyacinth
C:\Users\chris\OneDrive\Documents\School\Thesis\river-feature-extraction-model/images/objects/garbages/30cf52b8-3d88-4190-a4b0-3cd16cd09e25.jpg,garbage
C:\Users\chris\OneDrive\Documents\School\Thesis\river-feature-extraction-model/images/objects/garbages/091f6c4a-3f74-4f95-a229-5c8f15d82449.jpg,garbage
C:\Users\chris\OneDrive\Documents\School\Thesis\river-feature-extraction-model/images/objects/water_hyacinths/6fdc78d7-df7d-4159-a7b8-76a1b723b632.jpg,water_hyacinth
C:\Users\chris\OneDrive\Documents\School\Thesis\river-feature-extraction-model/images/objects/water_hyacinths/6a6a9d1d-1170-4686-9228-e250cd98e6c7.jpg,water_hyacinth
C:\Users\chris\OneDrive\Documents\School\Thesis\river-feature-extraction-model/images/objects/water_hyacinths/b26264b4-7e7e-4881-a17d-4038436da5ae.jpg,water_hyacinth
C:\Users\chris\OneDrive\Documents\School\Thesis\river-feature-extraction-model/images/objects/water_hyacinths/85b36705-6132-4b8d-9c41-f337a1255122.jpg,water_hyacinth
C:\Users\chris\OneDrive\Documents\School\Thesis\river-feature-extraction-model/images/objects/water_hyacinths/7d057bf5-aece-45e6-b85c-bc512fd56847.jpg,water_hyacinth
C:\Users\chris\OneDrive\Documents\School\Thesis\river-feature-extraction-model/images/objects/water_hyacinths/393fe92a-1e5b-4a11-8aed-9b27b14c1c97.jpg,water_hyacinth
C:\Users\chris\OneDrive\Documents\School\Thesis\river-feature-extraction-model/images/objects/water_hyacinths/0e6b387c-e2f5-40f7-a876-b7b27c1b355e.jpg,water_hyacinth
